Test  | A*        | A* time   | A* len    | D* Lite   | D* time   | D* len    
892   | Path found| 0.547     | 70        | Path found| 2.786     | 70        
893   | Path found| 0.211     | 74        | Path found| 3.183     | 74        
894   | Path found| 0.468     | 80        | Path found| 3.859     | 80        
895   | Path found| 0.249     | 72        | Path found| 3.032     | 72        
896   | Path found| 0.321     | 70        | Path found| 2.815     | 70        
897   | Path found| 0.747     | 76        | Path found| 3.278     | 76        
898   | Path found| 0.688     | 82        | Path found| 4.035     | 82        
899   | Path found| 0.282     | 75        | Path found| 3.365     | 75        
900   | Path found| 0.238     | 79        | Path found| 3.778     | 79        
901   | Path found| 0.297     | 72        | Path found| 2.736     | 72        
902   | Path found| 0.304     | 77        | Path found| 3.421     | 77        
903   | Path found| 0.575     | 79        | Path found| 3.618     | 79        
904   | Path found| 0.452     | 72        | Path found| 3.013     | 72        
905   | Path found| 0.480     | 70        | Path found| 2.878     | 70        
906   | Path found| 0.343     | 72        | Path found| 3.005     | 72        
907   | Path found| 0.503     | 78        | Path found| 3.410     | 78        
908   | Path found| 0.297     | 77        | Path found| 3.359     | 77        
909   | Path found| 0.342     | 73        | Path found| 3.068     | 73        
910   | Path found| 0.566     | 73        | Path found| 3.119     | 73        
911   | Path found| 0.325     | 78        | Path found| 3.722     | 78        
912   | Path found| 0.334     | 74        | Path found| 3.132     | 74        
913   | Path found| 0.272     | 70        | Path found| 2.776     | 70        
914   | Path found| 0.387     | 75        | Path found| 3.276     | 75        
915   | Path found| 0.390     | 77        | Path found| 3.338     | 77        
916   | Path found| 0.291     | 84        | Path found| 4.047     | 84        
917   | Path found| 0.594     | 77        | Path found| 3.430     | 77        
918   | Path found| 0.331     | 73        | Path found| 3.146     | 73        
919   | Path found| 0.223     | 78        | Path found| 3.330     | 78        
920   | Path found| 0.354     | 80        | Path found| 3.576     | 80        
921   | Path found| 0.321     | 74        | Path found| 3.072     | 74        
922   | Path found| 0.525     | 72        | Path found| 3.047     | 72        
923   | Path found| 0.260     | 73        | Path found| 3.148     | 73        
924   | Path found| 0.499     | 81        | Path found| 3.735     | 81        
925   | Path found| 0.314     | 70        | Path found| 2.599     | 70        
926   | Path found| 0.300     | 75        | Path found| 3.170     | 75        
927   | Path found| 0.803     | 75        | Path found| 3.263     | 75        
928   | Path found| 0.353     | 74        | Path found| 3.202     | 74        
929   | Path found| 0.659     | 72        | Path found| 2.934     | 72        
930   | Path found| 0.351     | 73        | Path found| 3.021     | 73        
931   | Path found| 0.356     | 75        | Path found| 3.232     | 75        
932   | Path found| 0.546     | 80        | Path found| 3.851     | 80        
933   | Path found| 0.637     | 71        | Path found| 2.955     | 71        
934   | Path found| 0.594     | 81        | Path found| 3.839     | 81        
935   | Path found| 0.423     | 71        | Path found| 2.975     | 71        
936   | Path found| 0.509     | 78        | Path found| 3.545     | 78        
937   | Path found| 0.394     | 76        | Path found| 2.305     | 76        
938   | Path found| 0.283     | 78        | Path found| 3.614     | 78        
939   | Path found| 0.292     | 71        | Path found| 2.970     | 71        
940   | Path found| 0.716     | 73        | Path found| 3.039     | 73        
941   | Path found| 0.503     | 76        | Path found| 3.413     | 76        
942   | Path found| 0.442     | 74        | Path found| 2.989     | 74        
943   | Path found| 0.562     | 80        | Path found| 3.552     | 80        
944   | Path found| 0.271     | 81        | Path found| 3.749     | 81        
